0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,LONGITUDE,LATITUDE,ALTITUDE,FLOOR,BUILDINGID
-92.34883720930233,-102.1,-110.0,-105.83333333333333,-101.1,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-97.61904761904762,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,31.0,23.68,0.0,1.0,1.0
-89.65384615384616,-106.14285714285714,-105.71428571428571,-100.875,-105.66666666666667,-110.0,-110.0,-110.0,-108.16666666666667,-107.83333333333333,-110.0,-110.0,-110.0,-110.0,-110.0,-104.14285714285714,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,23.37,23.14,0.0,1.0,1.0
-89.08333333333333,-102.875,-96.875,-91.28205128205128,-100.45454545454545,-99.54545454545455,-107.16666666666667,-99.81818181818181,-103.11111111111111,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-108.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,25.93,20.19,0.0,1.0,1.0
-81.17543859649123,-93.51724137931035,-94.4,-93.23529411764706,-92.19354838709677,-94.76,-101.7,-95.68,-101.2,-94.52631578947368,-97.46666666666667,-110.0,-98.4,-110.0,-104.83333333333333,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,21.74,19.55,0.0,1.0,1.0
-75.22222222222223,-94.0,-94.29411764705883,-90.17857142857143,-89.82608695652173,-92.57692307692308,-96.05263157894737,-94.81818181818181,-96.78571428571429,-94.69565217391305,-97.83333333333333,-110.0,-99.3,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,18.74,23.32,0.0,1.0,1.0
-80.15,-90.03571428571429,-94.43478260869566,-91.13793103448276,-88.65217391304348,-91.3225806451613,-94.82352941176471,-94.33333333333333,-97.28571428571429,-94.7,-97.58333333333333,-110.0,-94.44444444444444,-110.0,-96.64285714285714,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,19.57,18.11,0.0,1.0,1.0
-80.67692307692307,-91.18181818181819,-94.10714285714286,-93.3157894736842,-89.0,-90.74193548387096,-94.48,-92.6,-97.33333333333333,-94.4,-98.4,-110.0,-94.42857142857143,-110.0,-101.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,19.54,16.76,0.0,1.0,1.0
-87.46666666666667,-81.2741935483871,-86.87878787878788,-80.66666666666667,-87.26315789473684,-93.72222222222223,-89.58974358974359,-80.9622641509434,-91.375,-88.09677419354838,-110.0,-110.0,-83.68571428571428,-110.0,-90.33333333333333,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,16.28,16.18,0.0,1.0,1.0
-88.19444444444444,-84.02564102564102,-87.70833333333333,-88.95833333333333,-80.98529411764706,-95.57142857142857,-87.65454545454546,-79.15789473684211,-92.04545454545455,-89.90322580645162,-100.0,-110.0,-83.23809523809524,-110.0,-90.54545454545455,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,16.24,13.21,0.0,1.0,1.0
-95.07142857142857,-87.41666666666667,-77.39583333333333,-90.14285714285714,-76.6986301369863,-101.3,-85.60606060606061,-84.08510638297872,-89.90322580645162,-86.54838709677419,-96.66666666666667,-110.0,-81.11904761904762,-110.0,-89.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,16.27,11.32,0.0,1.0,1.0
-90.0,-84.3125,-85.02272727272727,-83.31818181818181,-80.5925925925926,-100.5,-82.19117647058823,-84.13953488372093,-90.73076923076923,-83.44827586206897,-105.66666666666667,-110.0,-83.07317073170732,-110.0,-91.25,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,16.3,8.57,0.0,1.0,1.0
