0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,LONGITUDE,LATITUDE,ALTITUDE,FLOOR,BUILDINGID
-53.0,-63.0,-74.0,-68.0,-73.0,-79.0,-72.0,-80.0,-85.0,-90.0,-91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-50.0,-55.0,-79.0,-64.0,-69.0,-81.0,-75.0,-79.0,-85.0,-89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-52.0,-56.0,-73.0,100.0,-69.0,100.0,-71.0,-79.0,-85.0,100.0,-89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-52.0,-54.0,-75.0,-67.0,-71.0,100.0,-71.0,-79.0,-86.0,-89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-51.0,-56.0,-80.0,-67.0,-72.0,100.0,-71.0,-76.0,-86.0,-88.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-48.0,-55.0,-79.0,100.0,100.0,-80.0,-72.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-47.0,-54.0,100.0,-65.0,-76.0,-79.0,-72.0,-79.0,-85.0,-91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-48.0,-54.0,-80.0,-71.0,-74.0,-79.0,-76.0,-80.0,-87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-48.0,-53.0,-79.0,-72.0,-75.0,100.0,-68.0,100.0,-86.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-61.0,-57.0,-81.0,100.0,-73.0,100.0,-72.0,-78.0,-86.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-52.0,-57.0,-79.0,-68.0,100.0,-79.0,-73.0,-78.0,-87.0,-90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-52.0,-58.0,100.0,-69.0,-70.0,100.0,-76.0,-79.0,-88.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-52.0,-61.0,-80.0,-66.0,-72.0,-80.0,-71.0,-81.0,-87.0,-90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-53.0,-60.0,-74.0,-67.0,100.0,100.0,-73.0,-80.0,-90.0,-90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-48.0,-60.0,-84.0,-64.0,-71.0,-78.0,-70.0,-76.0,-87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-47.0,-61.0,100.0,-66.0,-70.0,-78.0,-72.0,-79.0,-87.0,-91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-49.0,-57.0,-86.0,-66.0,-74.0,-79.0,-74.0,-79.0,-86.0,-90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
-50.0,-58.0,-86.0,-66.0,-73.0,-77.0,-73.0,-79.0,100.0,100.0,100.0,-92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-23.5,-10.75,0.0,0.0,0.0
